#code        score   
3gr2_226     5.55    
3gr2_205     5.58    
3gr2_220     5.49    
3gr2_277     5.44    
3gr2_239     5.34    
3gr2_12      5.44    
3gr2_415     5.44    
3gr2_262     5.31    
3gr2_337     5.37    
3gr2_254     5.33    
3gr2_820     5.33    
3gr2_737     5.28    
3gr2_187     5.32    
3gr2_122     5.35    
3gr2_684     5.21    
3gr2_421     5.33    
3gr2_279     5.29    
3gr2_102     5.31    
3gr2_151     5.30    
3gr2_545     5.28    
3gr2_701     5.23    
3gr2_493     5.26    
3gr2_624     5.25    
3gr2_132     5.17    
3gr2_872     5.18    
3gr2_451     5.21    
3gr2_560     5.27    
3gr2_580     5.22    
3gr2_460     5.17    
3gr2_665     5.20    
3gr2_835     5.18    
3gr2_474     5.10    
3gr2_409     5.17    
3gr2_410     5.08    
3gr2_466     5.22    
3gr2_424     5.06    
3gr2_186     5.10    
3gr2_458     5.15    
3gr2_449     5.13    
3gr2_118     5.06    
3gr2_541     5.05    
3gr2_973     5.10    
3gr2_476     5.09    
3gr2_568     5.13    
3gr2_663     5.13    
3gr2_732     5.05    
3gr2_446     5.14    
3gr2_526     5.08    
3gr2_771     5.05    
3gr2_745     4.94    
3gr2_867     4.97    
3gr2_765     5.03    
3gr2_738     5.00    
3gr2_585     4.98    
3gr2_540     5.02    
3gr2_686     4.99    
3gr2_717     4.93    
3gr2_747     4.88    
3gr2_669     4.96    
3gr2_735     4.90    
3gr2_592     4.89    
3gr2_853     4.76    
3gr2_756     4.88    
3gr2_581     4.94    
3gr2_764     4.86    
3gr2_978     4.84    
3gr2_779     4.73    
3gr2_743     4.90    
3gr2_766     4.81    
3gr2_879     4.72    
3gr2_742     4.83    
3gr2_858     4.69    
3gr2_761     4.79    
3gr2_762     4.76    
3gr2_776     4.74    
3gr2_841     4.63    
3gr2_722     4.64    
3gr2_786     4.57    
3gr2_758     4.52    
3gr2_783     4.52    
3gr2_ligand  5.25    
