#code        score   
3zdg_43      5.52    
3zdg_9       5.52    
3zdg_100     5.52    
3zdg_842     5.50    
3zdg_52      5.49    
3zdg_705     5.48    
3zdg_804     5.48    
3zdg_237     5.47    
3zdg_903     5.46    
3zdg_32      5.44    
3zdg_929     5.43    
3zdg_799     5.43    
3zdg_896     5.43    
3zdg_890     5.42    
3zdg_811     5.42    
3zdg_961     5.41    
3zdg_232     5.40    
3zdg_300     5.39    
3zdg_266     5.38    
3zdg_803     5.36    
3zdg_862     5.33    
3zdg_738     5.32    
3zdg_141     5.32    
3zdg_286     5.30    
3zdg_790     5.30    
3zdg_778     5.27    
3zdg_653     5.26    
3zdg_798     5.26    
3zdg_767     5.26    
3zdg_994     5.25    
3zdg_883     5.25    
3zdg_868     5.25    
3zdg_425     5.25    
3zdg_753     5.25    
3zdg_765     5.25    
3zdg_758     5.24    
3zdg_660     5.21    
3zdg_911     5.19    
3zdg_787     5.17    
3zdg_774     5.17    
3zdg_780     5.15    
3zdg_532     5.14    
3zdg_764     5.13    
3zdg_788     5.13    
3zdg_793     5.13    
3zdg_499     5.06    
3zdg_542     5.05    
3zdg_797     5.04    
3zdg_466     5.04    
3zdg_792     5.02    
3zdg_574     4.99    
3zdg_509     4.99    
3zdg_538     4.95    
3zdg_600     4.92    
3zdg_556     4.89    
3zdg_ligand  5.51    
