#code        score   
2j78_97      5.57    
2j78_31      5.56    
2j78_22      5.54    
2j78_52      5.53    
2j78_311     5.53    
2j78_326     5.50    
2j78_941     5.50    
2j78_812     5.49    
2j78_862     5.49    
2j78_808     5.46    
2j78_881     5.47    
2j78_835     5.47    
2j78_857     5.45    
2j78_719     5.42    
2j78_744     5.38    
2j78_755     5.38    
2j78_458     5.36    
2j78_882     5.33    
2j78_406     5.32    
2j78_471     5.34    
2j78_716     5.31    
2j78_486     5.30    
2j78_751     5.29    
2j78_938     5.28    
2j78_460     5.27    
2j78_754     5.27    
2j78_796     5.28    
2j78_459     5.27    
2j78_787     5.24    
2j78_369     5.23    
2j78_650     5.23    
2j78_777     5.23    
2j78_827     5.23    
2j78_621     5.22    
2j78_597     5.21    
2j78_140     5.19    
2j78_507     5.21    
2j78_779     5.20    
2j78_349     5.17    
2j78_101     5.17    
2j78_115     5.16    
2j78_397     5.17    
2j78_795     5.18    
2j78_332     5.15    
2j78_657     5.17    
2j78_320     5.15    
2j78_383     5.15    
2j78_176     5.13    
2j78_684     5.13    
2j78_382     5.12    
2j78_546     5.15    
2j78_317     5.11    
2j78_575     5.07    
2j78_626     5.03    
2j78_ligand  5.58    
