#code        score   
3gbb_213     -5.856  
3gbb_278     -5.442  
3gbb_304     -6.088  
3gbb_317     -6.387  
3gbb_405     10000.000
3gbb_407     10000.000
3gbb_418     10000.000
3gbb_421     10000.000
3gbb_427     -1.238  
3gbb_445     10000.000
3gbb_449     10000.000
3gbb_458     10000.000
3gbb_460     10000.000
3gbb_468     10000.000
3gbb_473     10000.000
3gbb_482     10000.000
3gbb_483     10000.000
3gbb_489     10000.000
3gbb_498     10000.000
3gbb_503     10000.000
3gbb_509     10000.000
3gbb_510     10000.000
3gbb_512     10000.000
3gbb_523     10000.000
3gbb_559     10000.000
3gbb_564     10000.000
3gbb_596     10000.000
3gbb_616     10000.000
3gbb_619     10000.000
3gbb_621     10000.000
3gbb_625     10000.000
3gbb_627     10000.000
3gbb_646     10000.000
3gbb_648     10000.000
3gbb_650     10000.000
3gbb_655     10000.000
3gbb_666     10000.000
3gbb_673     10000.000
3gbb_678     10000.000
3gbb_683     10000.000
3gbb_693     10000.000
3gbb_697     10000.000
3gbb_715     10000.000
3gbb_717     10000.000
3gbb_728     4.692   
3gbb_781     10000.000
3gbb_783     10000.000
3gbb_796     10000.000
3gbb_814     -2.296  
3gbb_845     5.098   
3gbb_893     10000.000
3gbb_ligand  -6.515  
