#code	score
3jvs_206	-1.82685
3jvs_226	-1.09276
3jvs_229	-0.43276000000000003
3jvs_234	-0.43191999999999997
3jvs_235	0.16816
3jvs_246	-2.8965799999999997
3jvs_253	-2.19334
3jvs_269	0.30774
3jvs_275	-1.91534
3jvs_299	-3.45517
3jvs_377	-4.539969999999999
3jvs_405	13.085460000000001
3jvs_411	4.25055
3jvs_419	1.04764
3jvs_424	12.23196
3jvs_426	6.01774
3jvs_435	0.48246999999999995
3jvs_441	8.1101
3jvs_443	7.04767
3jvs_449	20.60043
3jvs_454	5.58841
3jvs_467	12.733239999999999
3jvs_469	20.46055
3jvs_483	5.08814
3jvs_489	3.4045300000000003
3jvs_490	12.66132
3jvs_492	7.1585600000000005
3jvs_502	-1.38101
3jvs_513	0.70514
3jvs_524	-0.6295
3jvs_546	0.89138
3jvs_555	2.8540900000000002
3jvs_56	151.47226
3jvs_583	-4.39219
3jvs_587	-0.9639700000000001
3jvs_593	4.14141
3jvs_613	0.35945
3jvs_614	5.15798
3jvs_616	6.72755
3jvs_617	-2.82575
3jvs_623	-0.45175
3jvs_626	5.5873800000000005
3jvs_640	-1.05633
3jvs_642	7.6746
3jvs_651	-0.6993
3jvs_658	0.15304
3jvs_666	-0.3783
3jvs_680	7.11953
3jvs_688	1.61628
3jvs_694	-1.20797
3jvs_698	-0.19305
3jvs_703	-5.47358
3jvs_707	-2.1963
3jvs_740	-3.3648300000000004
3jvs_742	-4.963509999999999
3jvs_758	-3.66705
3jvs_762	-2.4131
3jvs_769	-4.74929
3jvs_785	-3.1501799999999998
3jvs_800	-3.5317300000000005
3jvs_804	-4.9530400000000006
3jvs_806	-4.33919
3jvs_812	-3.9682699999999995
3jvs_815	-2.45028
3jvs_817	-5.63666
3jvs_82	-5.6464300000000005
3jvs_822	-1.88883
3jvs_824	-3.65856
3jvs_830	-3.88766
3jvs_831	-3.15049
3jvs_832	-1.72527
3jvs_838	-2.9738700000000002
3jvs_840	-4.794980000000001
3jvs_846	-4.9884900000000005
3jvs_847	-2.779
3jvs_856	-3.05305
3jvs_860	-5.24139
3jvs_867	-5.228940000000001
3jvs_868	-6.06958
3jvs_869	-4.59433
3jvs_884	-3.83325
3jvs_895	-7.13972
3jvs_897	-5.54863
3jvs_9	-4.52716
3jvs_904	-3.0152099999999997
3jvs_916	-5.99874
3jvs_957	-3.17561
3jvs_963	0.11640999999999999
3jvs_973	-4.16483
3jvs_ligand	-7.52033
